IATA_code,ICAO_code,AIRPORT_NAME
DSG,,Dilasag Airport
DSI,KDTS,Destin Executive Airport (FAA: DTS)
DSK,OPDI,Dera Ismail Khan Airport
DSM,KDSM,Des Moines International Airport
DSN,ZBDS,Ordos Ejin Horo Airport
DSO,ZKSD,Sondok Airport[1]
DSS,GOBD,Blaise Diagne International Airport
DSV,KDSV,Dansville Municipal Airport
DSX,RCLM,Dongsha Island Airport[1]
DTA,KDTA,Delta Municipal Airport
DTB,WIMN,Silangit Airport[1]
DTD,WALJ,Datadawai Airport
DTE,RPUD,Bagasbas Airport
DTH,,Furnace Creek Airport (FAA: L06)
DTI,SNDT,Diamantina Airport[1]
DTL,KDTL,Detroit Lakes Airport (Wething Field)
DTM,EDLW,Dortmund Airport
DTN,KDTN,Shreveport Downtown Airport
DTR,,Decatur Shores Airport[1]
DTT[1],,metropolitan area1
DTU,,Wudalianchi Airport[1]
DTW,KDTW,Detroit Metropolitan Wayne County Airport
DUA,KDUA,Durant Regional Airport–Eaker Field
DUB,EIDW,Dublin Airport
DUC,KDUC,Halliburton Field
DUD,NZDN,Dunedin International Airport
DUE,FNDU,Dundo Airport
DUF,,Pine Island Airport (FAA: 7NC2)
DUG,KDUG,Bisbee Douglas International Airport
DUJ,KDUJ,DuBois Regional Airport
DUK,FADK,Dukuduku Airport
DUM,WIBD,Pinang Kampai Airport
DUQ,,Duncan Airport
DUR,FALE,King Shaka International Airport
DUS,EDDL,Düsseldorf Airport
DUT,PADU,Unalaska Airport
DVD,,Andavadoaka Airport
DVK,,Diavik Airport[1]
DVL,KDVL,Devils Lake Regional Airport (Devils Lake Municipal Airport)
DVN,KDVN,Davenport Municipal Airport
DVO,RPMD,Francisco Bangoy International Airport
DVP,YDPD,Davenport Downs Airport
DVR,,Daly River Airport
DVT,KDVT,Phoenix Deer Valley Airport
DWA,FWDW,Dwanga Airport (Dwangwa Airport)
DWB,FMNO,Soalala Airport
DWC,OMDW,Al Maktoum International Airport
DWD,OEDW,Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport)
DWH,KDWH,David Wayne Hooks Memorial Airport
DWO,,Diyawanna Oya Seaplane Base[1]
DWR,OADY,Dwyer Airport[1]
DXB,OMDB,Dubai International Airport
DXD,YDIX,Dixie Airport
DXE,KMBO,Bruce Campbell Field[1] (FAA: MBO)
DXR,KDXR,Danbury Municipal Airport
DYA,YDYS,Dysart Airport
DYG,ZGDY,Zhangjiajie Hehua Airport
DYL,KDYL,Doylestown Airport
DYM,,Diamantina Lakes Airport
DYR,UHMA,Ugolny Airport
DYS,KDYS,Dyess Air Force Base
DYU,UTDD,Dushanbe International Airport
DYW,,Daly Waters Airport
DZA,FMCZ,Dzaoudzi–Pamandzi International Airport
DZI,,Codazzi Airport
DZN,UAKD,Zhezkazgan Airport
DZO,SUDU,Santa Bernardina International Airport
DZU,ZUDZ,Dazu Air Base
EAA,PAEG,Eagle Airport
EAB,ODAS,Abbs Airport
EAE,NVSE,Siwo Airport
EAL,,Elenak Airport
EAM,OENG,Najran Domestic Airport
EAN,KEAN,Phifer Airfield
EAP[1],,metropolitan area2
EAR,KEAR,Kearney Regional Airport
EAS,LESO,San Sebastián Airport
EAT,KEAT,Pangborn Memorial Airport
EAU,KEAU,Chippewa Valley Regional Airport
EBA,LIRJ,Marina di Campo Airport
EBB,HUEN,Entebbe International Airport
EBD,HSOB,El Obeid Airport
EBG,SKEB,El Bagre Airport (El Tomin Airport)
EBH,DAOY,El Bayadh Airport[1]
EBJ,EKEB,Esbjerg Airport
EBL,ORER,Erbil International Airport
EBM,DTTR,El Borma Airport
EBN,,Ebadon Airstrip
EBO,,Ebon Airport
EBS,KEBS,Webster City Municipal Airport
EBU,LFMH,Saint-Étienne–Bouthéon Airport
EBW,FKKW,Ebolowa Airport
ECA,,Iosco County Airport (FAA: 6D9)
ECG,KECG,Elizabeth City Regional Airport
ECH,YECH,Echuca Airport
ECI,MNLP,Costa Esmeralda Airport[1]
ECN,LCEN,Ercan International Airport[1]
ECO,,El Encanto Airport
ECP,KECP,Northwest Florida Beaches International Airport
ECR,SKEH[2],El Charco Airport
ECS,KECS,Mondell Field
EDA,,Edna Bay Seaplane Base[1]
EDB,HSDB,El Debba Airport
EDD,,Erldunda Airport
EDE,KEDE,Northeastern Regional Airport
EDF,PAED,Elmendorf Air Force Base
EDI,EGPH,Edinburgh Airport
EDK,KEQA,Captain Jack Thomas/El Dorado Airport (FAA: EQA)
EDL,HKEL,Eldoret International Airport
EDM,LFRI,La Roche-sur-Yon Aerodrome
EDO,LTFD,Balıkesir Koca Seyit Airport
EDQ,,Erandique Airport
EDR,YPMP,Edward River Airport
EDW,KEDW,Edwards Air Force Base
EED,KEED,Needles Airport
EEK,PAEE,Eek Airport
EEN,KEEN,Dillant–Hopkins Airport
EFD,KEFD,Ellington Field
EFG,AYEF,Efogi Airport
EFK,KEFK,Newport State Airport
EFL,LGKF,Cephalonia International Airport
EFW,KEFW,Jefferson Municipal Airport
EGA,AYEN,Engati Airport
EGC,LFBE,Bergerac Dordogne Périgord Airport
EGE,KEGE,Eagle County Regional Airport
EGI,KEGI,Duke Field (Eglin Auxiliary Field 3)
EGL,HANG,Neghelle Airport
EGM,AGGS,Seghe Airport
EGN,HSGN,Geneina Airport
EGO,UUOB,Belgorod International Airport
EGP,,Maverick County Memorial International Airport
EGS,BIEG,Egilsstaðir Airport
EGV,KEGV,Eagle River Union Airport
EGX,PAII,Egegik Airport (FAA: EII)
EHL,SAVB,El Bolsón Airport
EHM,PAEH,Cape Newenham LRRS Airport
EIA,,Popondetta Airport
EIB,EDGE,Eisenach-Kindel Airport[1]
EIE,UNII,Yeniseysk Airport
EIH,,Einasleigh Airport
EIK,URKE,Yeysk Airport[1]
EIL,PAEI,Eielson Air Force Base
EIN,EHEH,Eindhoven Airport
EIS,TUPJ,Terrance B. Lettsome International Airport
EIY,LLEY,Ein Yahav Airfield
EJA,SKEJ,Yariguíes Airport
EJH,OEWJ,Al Wajh Domestic Airport
EJN,,Ejin Banner Taolai Airport
EJT,,Enejit Airport
EKA,KEKA,Murray Field
EKB,UASB,Ekibastuz Airport
EKD,,Elkedra Airport
EKE,,Ekereku Airport
EKI,KEKM,Elkhart Municipal Airport (FAA: EKM)
EKN,KEKN,Elkins-Randolph County Airport
EKO,KEKO,Elko Regional Airport
EKS,UHSK,Shakhtyorsk Airport[1]
EKT,ESSU,Eskilstuna Airport
EKX,KEKX,Elizabethtown Regional Airport (Addington Field)
ELA,KELA,Eagle Lake Airport
ELB,SKBC,Las Flores Airport
ELC,YELD,Elcho Island Airport
ELD,KELD,South Arkansas Regional Airport at Goodwin Field
ELE,,El Real Airport
ELF,HSFS,El Fasher Airport
ELG,DAUE,El Golea Airport
ELH,MYEH,North Eleuthera Airport
ELI,PFEL,Elim Airport
ELJ,SVWX[3],El Recreo Airport
ELK,KELK,Elk City Regional Business Airport
ELL,FAER,Ellisras Airport
ELM,KELM,Elmira/Corning Regional Airport
ELN,KELN,Bowers Field
ELO,SATD,Eldorado Airport
ELP,KELP,El Paso International Airport
ELQ,OEGS,Prince Nayef bin Abdulaziz Regional Airport
ELR,,Elelim Airport
ELS,FAEL,East London Airport
ELT,HETR,El Tor Airport
ELU,DAUO,Guemar Airport
ELV,PAEL,Elfin Cove Seaplane Base
ELW,,Ellamar Seaplane Base (FAA: 1Z9)
ELX,,El Tigre Airport
ELY,KELY,Ely Airport
ELZ,KELZ,Wellsville Municipal Airport (Tarantine Field)
EMA,EGNX,East Midlands Airport
EMD,YEML,Emerald Airport
EME,EDWE,Emden Airport
EMG,FAEM,Empangeni Airport
EMI,AYEE,Emirau Airport
EMK,PAEM,Emmonak Airport (FAA: ENM)
EML,LSME,Emmen Air Base
EMM,KEMM,Kemmerer Municipal Airport
EMN,GQNI,Néma Airport
EMO,AYEO,Emo Airport
EMP,KEMP,Emporia Municipal Airport
EMS,AYEB,Embessa Airport
EMT,KEMT,San Gabriel Valley Airport
EMX,SAVD,El Maitén Airport
EMY,HEMN,El Minya Airport
ENA,PAEN,Kenai Municipal Airport
ENB,YEEB,Eneabba Airport
ENC,LFSN,Nancy-Essey Airport
END,KEND,Vance Air Force Base
ENE,WATE,H. Hasan Aroeboesman Airport
ENF,EFET,Enontekiö Airport
ENH,ZHES,Enshi Xujiaping Airport
ENI,RPEN,El Nido Airport
ENJ,,El Naranjo Airport
ENK,EGAB,Enniskillen/St Angelo Airport
ENL,KENL,Centralia Municipal Airport
ENN,PANN,Nenana Municipal Airport
ENO,SGEN,Teniente Amin Ayub Gonzalez Airport
ENS,EHTW,Enschede Airport Twente
ENT,PKMA,Enewetak Auxiliary Airfield
ENU,DNEN,Akanu Ibiam International Airport
ENV,KENV,Wendover Airport
ENW,KENW,Kenosha Regional Airport
ENY,ZLYA,Yan'an Nanniwan Airport
EOH,SKMD,Olaya Herrera Airport
EOI,EGED,Eday Airport
EOK,KEOK,Keokuk Municipal Airport
EOR,SVED,El Dorado Airport
EOS,KEOS,Neosho Hugh Robinson Airport
EOZ,SVEZ,Elorza Airport
EPA,SADP,El Palomar Airport[1]
EPG,,Browns Airport (FAA: NE69)
EPH,KEPH,Ephrata Municipal Airport
EPL,LFSG,Épinal – Mirecourt Airport
EPN,,Epéna Airport
EPR,YESP,Esperance Airport
EPS,MDAB,Arroyo Barril Airport
EPT,AYEL,Eliptamin Airport
EPU,EEPU,Pärnu Airport
EQS,SAVE,Esquel Airport
ERA,HCMU,Erigavo Airport
ERB,YERN,Pukatja Airport (Ernabella Airport)
ERC,LTCD,Erzincan Airport
ERD,UKDB,Berdiansk Airport
ERE,AYEV,Erave Airport
ERF,EDDE,Erfurt–Weimar Airport
ERG,UIKE,Erbogachen Airport
ERH,GMFK,Moulay Ali Cherif Airport
ERI,KERI,Erie International Airport (Tom Ridge Field)
ERL,ZBER,Erenhot Saiwusu International Airport
ERM,SSER,Erechim Airport
ERN,SWEI,Eirunepé Airport (Amaury Feitosa Tomaz Airport)
ERQ,YESE,Elrose Airport
ERR,KERR,Errol Airport
ERS,FYWE,Eros Airport
ERT,,Erdenet Airport
ERU,AYER,Erume Airport
ERV,KERV,Kerrville Municipal Airport (Louis Schreiner Field)
ERZ,LTCE,Erzurum Airport
ESA,,Esa'ala Airport
ESB,LTAC,Esenboğa International Airport
ESC,KESC,Delta County Airport
ESD,KORS,Orcas Island Airport (FAA: ORS)
ESE,MMES,Ensenada Airport
ESF,KESF,Esler Airfield (Esler Regional Airport)
ESG,SGME,Dr. Luis María Argaña International Airport
ESH,EGKA,Shoreham Airport (Brighton City Airport)
ESI,,Espinosa Airport
ESK,LTBI,Eskişehir Airport
ESL,URWI,Elista Airport
ESM,SETN,Carlos Concha Torres International Airport
ESN,KESN,Easton Airport (Newnam Field)
ESO,,Ohkay Owingeh Airport (FAA: E14)
ESP,,Stroudsburg–Pocono Airport[1] (FAA: N53)
ESR,SCES,Ricardo García Posada Airport
ESS,EDLE,Essen/Mülheim Airport
EST,KEST,Estherville Municipal Airport
ESU,GMMI,Essaouira-Mogador Airport
ESW,KESW,Easton State Airport
ETB,KETB,West Bend Municipal Airport
ETD,YEDA,Etadunna Airport
ETE,HAMM,Genda Wuha Airport
ETH,LLET,J. Hozman Airport
ETM,LLER,Ramon Airport
ETN,KETN,Eastland Municipal Airport
ETR,SERO,Santa Rosa International Airport
ETS,KEDN,Enterprise Municipal Airport (FAA: EDN)
ETZ,LFJL,Metz–Nancy–Lorraine Airport
EUA,NFTE,Eua Airport (Kaufana Airport)
EUC,YECL,Eucla Airport
EUE,,Eureka Airport (FAA: 05U)
EUF,KEUF,Weedon Field
EUG,KEUG,Eugene Airport (Mahlon Sweet Airport)
EUM,EDHN,Neumünster Airport
EUN,GMML,Hassan I Airport
EUO,,Paratebueno Airport[1]
EUQ,RPVS,Evelio Javier Airport (Antique Airport)
EUX,TNCE,F. D. Roosevelt Airport
EVA,,Ben Bruce Memorial Airpark (FAA: 4TE8)
EVD,,Eva Downs Airport
EVE,ENEV,"Harstad/Narvik Airport, Evenes"
EVG,ESND,Sveg Airport
EVH,YEVD,Evans Head Memorial Aerodrome
EVM,KEVM,Eveleth-Virginia Municipal Airport
EVN,UDYZ,Zvartnots International Airport
EVV,KEVV,Evansville Regional Airport
EVW,KEVW,Evanston-Uinta County Burns Field
EVX,LFOE,Évreux-Fauville Air Base
EWB,KEWB,New Bedford Regional Airport
EWE,,Ewer Airport
EWI,WABT,Enarotali Airport
EWK,KEWK,Newton City/County Airport
EWN,KEWN,Coastal Carolina Regional Airport
EWO,FCOE,Ewo Airport
EWR,KEWR,Newark Liberty International Airport
EXI,,Excursion Inlet Seaplane Base
EXM,YEXM,Exmouth Airport
EXT,EGTE,Exeter International Airport
EYK,USHQ,Beloyarsk Airport
EYL,GAYE,Yélimané Airport
EYP,SKYP,El Alcaraván Airport
EYR,,Yerington Municipal Airport[1] (FAA: O43)
EYS,HKES,Eliye Springs Airport
EYW,KEYW,Key West International Airport
EZE,SAEZ,Ministro Pistarini International Airport
EZS,LTCA,Elazığ Airport
EZV,,Beryozovo Airport[1]
FAA,GUFH,Faranah Airport
FAB,EGLF,Farnborough Airport
FAC,NTKF,Faaite Airport
FAE,EKVG,Vágar Airport
FAF,KFAF,Felker Army Airfield
FAG,BIFM,Fagurhólsmýri Airport
FAH,OAFR,Farah Airport
FAI,PAFA,Fairbanks International Airport
FAJ,TJFA,Diego Jiménez Torres Airport (FAA: X95)
FAK,,False Island Seaplane Base (FAA: 2Z6)
FAM,KFAM,Farmington Regional Airport
FAO,LPFR,Faro Airport
FAQ,AYFR,Frieda River Airport
FAR,KFAR,Hector International Airport
FAS,BIFF,Fáskrúðsfjörður Airport
FAT,KFAT,Fresno Yosemite International Airport
FAU,OOFD,Fahud Airport[1]
FAV,NTGF,Fakarava Airport
FAY,KFAY,Fayetteville Regional Airport (Grannis Field)
FAZ,OISF,Fasa Airport[1]
FBA,SWOB,Fonte Boa Airport[1]
FBD,OAFZ,Fayzabad Airport
FBE,SSFB,Francisco Beltrão Airport (Paulo Abdala Airport)
FBG,KFBG,Simmons Army Airfield
FBK,PAFB,Ladd Army Airfield
FBL,KFBL,Faribault Municipal Airport
FBM,FZQA,Lubumbashi International Airport
FBR,KFBR,Fort Bridger Airport
FBS,,Friday Harbor Seaplane Base (FAA: W33)
FBY,KFBY,Fairbury Municipal Airport
FCA,KGPI,Glacier Park International Airport (FAA: GPI)
FCB,FAFB,Ficksburg Airport
FCH,KFCH,Fresno Chandler Executive Airport
FCM,KFCM,Flying Cloud Airport
FCN,ETMN,Nordholz Naval Airbase
FCO,LIRF,Leonardo da Vinci–Fiumicino Airport
FCS,KFCS,Butts Army Airfield (Fort Carson)
FCY,KFCY,Forrest City Municipal Airport
FDE,ENBL,"Førde Airport, Bringeland"
FDF,TFFF,Martinique Aimé Césaire International Airport
FDH,EDNY,Friedrichshafen Airport (Bodensee Airport)
FDK,KFDK,Frederick Municipal Airport
FDR,KFDR,Frederick Regional Airport
FDU,FZBO,Bandundu Airport
FDY,KFDY,Findlay Airport
FEA,,Fetlar Airport
FEB,VNSR,Sanfebagar Airport
FEC,SNJD,Feira de Santana Airport (Gov. João Durval Carneiro Airport)
FEG,UTKF,Fergana International Airport
FEJ,SNOU,Feijó Airport
FEK,DIFK,Ferkessédougou Airport
FEL,ETSF,Fürstenfeldbruck Air Base
FEN,SBFN,Fernando de Noronha Airport (Gov. Carlos Wilson Airport)
FEP,KFEP,Albertus Airport
FET,KFET,Fremont Municipal Airport
FEZ,GMFF,Fes–Saïss Airport
FFA,KFFA,First Flight Airport
FFD,EGVA,RAF Fairford
FFL,KFFL,Fairfield Municipal Airport
FFM,KFFM,Fergus Falls Municipal Airport (Einar Mickelson Field)
FFO,KFFO,Wright-Patterson Air Force Base (First Flight-Office)
FFT,KFFT,Capital City Airport
FFU,SCFT,Futaleufú Airfield
FGD,GQPF,Fderik Airport
FGI,NSFI,Fagali'i Airport
FGU,NTGB,Fangatau Airport
FHU,KFHU,Sierra Vista Municipal Airport (Libby Army Airfield)
FHZ,NTKH,Fakahina Airport
FID,,Elizabeth Field (FAA: 0B8)
FIE,EGEF,Fair Isle Airport
FIG,GUFA,Fria Airport
FIH,FZAA,N'djili Airport (Kinshasa Int'l Airport)
FIK,YFNE,Finke Airport
FIL,KFOM,Fillmore Municipal Airport (FAA: FOM)
FIN,AYFI,Finschhafen Airport
FIZ,YFTZ,Fitzroy Crossing Airport
FJR,OMFJ,Fujairah International Airport
FKB,EDSB,Karlsruhe/Baden-Baden Airport
FKI,FZIC,Bangoka International Airport
FKJ,RJNF,Fukui Airport
FKL,KFKL,Venango Regional Airport (Chess Lamberton Field)
FKN,KFKN,Franklin Municipal–John Beverly Rose Airport
FKQ,WASF,Fakfak Torea Airport
FKS,RJSF,Fukushima Airport
FLA,SKFL,Gustavo Artunduaga Paredes Airport
FLB,SNQG,Cangapara Airport
FLD,KFLD,Fond du Lac County Airport
FLF,EDXF,Flensburg-Schäferhaus Airport
FLG,KFLG,Flagstaff Pulliam Airport
FLH,,Flotta Island Airport
FLI,,Holt Airport
FLL,KFLL,Fort Lauderdale–Hollywood International Airport
FLM,SGFI,Filadelfia Airport
FLN,SBFL,Hercílio Luz International Airport
FLO,KFLO,Florence Regional Airport
FLP,KFLP,Marion County Regional Airport
FLR,LIRQ,"Florence Airport, Peretola (Amerigo Vespucci Airport)"
FLS,YFLI,Flinders Island Airport
FLT,,Flat Airport
FLV,KFLV,Sherman Army Airfield
FLW,LPFL,Flores Airport
FLX,KFLX,Fallon Municipal Airport
FLY,YFIL,Finley Airport
FLZ,WIMS,Ferdinand Lumban Tobing Airport[1]
FMA,SARF,Formosa International Airport (El Pucú Airport)
FME,KFME,Tipton Airport
FMH,KFMH,Otis Air National Guard Base
FMI,FZRF,Kalemie Airport
FMM,EDJA,Memmingen Airport
FMN,KFMN,Four Corners Regional Airport
FMO,EDDG,Münster Osnabrück International Airport
FMS,KFSW,Fort Madison Municipal Airport (FAA: FSW)
FMU,,Florence Municipal Airport[1] (FAA: 6S2)
FMY,KFMY,Page Field
FNA,GFLL,Lungi International Airport
FNB,ETNU,Neubrandenburg Airport
FNC,LPMA,Madeira Airport
FND,,Funadhoo Airport
FNE,AYFA,Fane Airport
FNG,DFEF,Fada N'gourma Airport
FNH,HAFN,Fincha Airport
FNI,LFTW,Nîmes–Alès–Camargue–Cévennes Airport (Garons Airport)
FNJ,ZKPY,Pyongyang Sunan International Airport
FNL,KFNL,Fort Collins–Loveland Municipal Airport
FNR,PANR,Funter Bay Seaplane Base
FNT,KFNT,Bishop International Airport
FNU,LIER,Oristano-Fenosu Airport[1]
FOA,,Foula Airfield
FOB,,Fort Bragg Airport (FAA: 82CL)
FOC,ZSFZ,Fuzhou Changle International Airport
FOD,KFOD,Fort Dodge Regional Airport
FOE,KFOE,Topeka Regional Airport
FOG,LIBF,"Foggia ""Gino Lisa"" Airport"
FOK,KFOK,Francis S. Gabreski Airport
FOM,FKKM,Foumban Nkounja Airport
FON,MRAN,La Fortuna Airport
FOO,,Kornasoren Airport (Numfoor Airport)
FOR,SBFZ,Pinto Martins – Fortaleza International Airport
FOS,YFRT,Forrest Airport
FOT,YFST,Forster (Wallis Island) Airport[1][2]
FOU,FOGF,Fougamou Airport
FOY,,Foya Airport
FPO,MYGF,Grand Bahama International Airport
FPR,KFPR,St. Lucie County International Airport
FPY,,Perry-Foley Airport (FAA: 40J)
FRA,EDDF,Frankfurt Airport
FRB,YFBS,Forbes Airport
FRC,SIMK,Franca Airport (Ten. Lund Presotto–Franca State Airport)
FRD,KFHR,Friday Harbor Airport (FAA: FHR)
FRE,AGGF,Fera Airport (Fera/Maringe Airport)
FRG,KFRG,Republic Airport
FRH,KFRH,French Lick Municipal Airport
FRI,KFRI,Marshall Army Airfield
FRK,FSSF,Frégate Island Airport
FRL,LIPK,Forlì International Airport (Luigi Ridolfi Airport)
FRM,KFRM,Fairmont Municipal Airport
FRN,PAFR,Bryant Army Airport
FRO,ENFL,Florø Airport
FRQ,AYFE,Feramin Airport
FRR,KFRR,Front Royal–Warren County Airport
FRS,MGTK,Mundo Maya International Airport
FRT,SCFI,Frutillar Airport
FRU,UAFM,Manas International Airport
FRW,FBFT,Francistown Airport
FRY,KIZG,Eastern Slopes Regional Airport (FAA: IZG)
FRZ,ETHF,Fritzlar Air Base
FSC,LFKF,Figari–Sud Corse Airport
FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field)
FSI,KFSI,Henry Post Army Airfield (Fort Sill)
FSK,KFSK,Fort Scott Municipal Airport
FSL,,Fossil Downs Airport
FSM,KFSM,Fort Smith Regional Airport
FSP,LFVP,Saint-Pierre Airport
FSS,EGQK,RAF Kinloss
FST,KFST,Fort Stockton–Pecos County Airport
FSU,KFSU,Fort Sumner Municipal Airport
FSZ,RJNS,Shizuoka Airport (Mt. Fuji Shizuoka Airport)
FTA,NVVF,Futuna Airport
FTE,SAWA,Comandante Armando Tola International Airport
FTI,NSFQ,Fitiuta Airport (FAA: FAQ)
FTK,KFTK,Godman Army Airfield
FTU,FMSD,Tôlanaro Airport (Marillac Airport)
FTW,KFTW,Fort Worth Meacham International Airport
FTX,FCOO,Owando Airport
FTY,KFTY,Fulton County Airport (Charlie Brown Field)
FUB,,Fulleborn Airport
FUE,GCFV,Fuerteventura Airport
FUG,ZSFY,Fuyang Xiguan Airport
FUJ,RJFE,Fukue Airport (Gotō-Fukue Airport)
FUK,RJFF,Fukuoka Airport (Itazuke Air Base)
FUL,KFUL,Fullerton Municipal Airport
FUM,,Fuma Airport[1]
FUN,NGFU,Funafuti International Airport
FUO,ZGFS,Foshan Shadi Airport
FUT,NLWF,Pointe Vele Airport
FVL,YFLO,Flora Valley Airport[1]
FVM,VRMF,Fuvahmulah Airport
FVR,YFRV,Forrest River Airport[1]
FWA,KFWA,Fort Wayne International Airport
FWH,KNFW,NAS Fort Worth JRB / Carswell Field (FAA: NFW)
FWL,PAFW,Farewell Airport
FXE,KFXE,Fort Lauderdale Executive Airport
FXO,FQCB,Cuamba Airport
FXY,KFXY,Forest City Municipal Airport
FYJ,ZYFY,Fuyuan Dongji Airport
FYM,KFYM,Fayetteville Municipal Airport
FYN,ZWFY,Fuyun Koktokay Airport[1]
FYT,FTTY,Faya-Largeau Airport
FYU,PFYU,Fort Yukon Airport
FYV,KFYV,Drake Field (Fayetteville Executive Airport)
FZO,EGTG,Bristol Filton Airport
GAA,,Guamal Airport
GAB,KGAB,Gabbs Airport
GAC,MHGS[1],Gracias Airport
GAD,KGAD,Northeast Alabama Regional Airport
GAE,DTTG,Gabès – Matmata International Airport
GAF,DTTF,Gafsa – Ksar International Airport
GAG,KGAG,Gage Airport
GAH,YGAY,Gayndah Airport
GAI,KGAI,Montgomery County Airpark
GAJ,RJSC,Yamagata Airport (Junmachi Airport)
GAL,PAGA,Edward G. Pitka Sr. Airport
GAM,PAGM,Gambell Airport
GAN,VRMG,Gan International Airport
GAO,MUGT,Mariana Grajales Airport
GAP,AYGP,Gusap Airport
GAQ,GAGO,Gao International Airport (Korogoussou Airport)
GAR,AYGI,Garaina Airport
GAS,HKGA,Garissa Airport
GAT,LFNA,Gap–Tallard Airport
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport
GAV,,Gag Island Airport
GAW,VYGG,Gangaw Airport
GAX,,Gamba Airport
GAY,VEGY,Gaya Airport (Bodhgaya Airport)
GAZ,,Guasopa Airport
GBA,EGBP,Cotswold Airport[2]
GBB,UBBQ,Qabala International Airport
GBC,AYGS,Gasuke Airport
GBD,KGBD,Great Bend Municipal Airport
GBE,FBSK,Sir Seretse Khama International Airport
GBF,AYNE,Negarbo Airport
GBG,KGBG,Galesburg Municipal Airport
GBH,PAGB,Galbraith Lake Airport
GBI,,Kalaburagi Airport
GBJ,TFFM,Marie-Galante Airport (Les Bases)
GBK,GFGK,Gbangbatok Airport
GBL,YGBI,South Goulburn Island Airport
GBM,,Garbaharey Airport
GBP,YGAM,Gamboola Airport
GBR,KGBR,Walter J. Koladza Airport
GBT,OING,Gorgan Airport[2]
GBU,HSKG,Khashm el Girba Airport
GBV,YGIB,Gibb River Airport
GBW,YGIA,Ginbata Airport[2]
GBZ,NZGB,Great Barrier Aerodrome
GCA,,Guacamayas Airport
GCC,KGCC,Gillette–Campbell County Airport
GCD,,Grand Coulee Dam Airport[2] (FAA: 3W7)
GCH,OIAH,Gachsaran Airport[2]
GCI,EGJB,Guernsey Airport
GCJ,FAGC,Grand Central Airport
GCK,KGCK,Garden City Regional Airport
GCM,MWCR,Owen Roberts International Airport
GCN,KGCN,Grand Canyon National Park Airport
GCW,,Grand Canyon West Airport[2] (FAA: 1G4)
GCY,KGCY,Greeneville–Greene County Municipal Airport
GDA,,Gounda Airport
GDC,KGYH,Donaldson Center Airport (FAA: GYH)
GDD,YGDN,Gordon Downs Airport
GDE,HAGO,Gode Airport
GDG,UHBI,Magdagachi Airport
GDH,,Golden Horn Lodge Seaplane Base (FAA: 3Z8)
GDI,,Gordil Airport
GDJ,FZWC,Gandajika Airport
GDL,MMGL,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l)
GDM,KGDM,Gardner Municipal Airport
GDN,EPGD,Gdańsk Lech Wałęsa Airport
GDO,SVGD,Guasdualito Airport (Vare Maria Airport)
GDP,SNGD,Guadalupe Airport
GDQ,HAGN,Gondar Airport (Atse Tewodros Airport)
GDT,MBGT,JAGS McCartney International Airport (Grand Turk Int'l)
GDV,KGDV,Dawson Community Airport
GDW,KGDW,Gladwin Zettel Memorial Airport
GDX,UHMM,Sokol Airport
GDZ,URKG,Gelendzhik Airport
GEA,NWWM,Nouméa Magenta Airport
GEB,WAMJ,Gebe Airport
GEC,,Geçitkale Air Base
GED,KGED,Delaware Coastal Airport
GEE,YGTO,George Town Aerodrome
GEF,AGEV,Geva Airport
GEG,KGEG,Spokane International Airport
GEL,SBNM,Sepé Tiaraju Airport
GEM,FGMY,President Obiang Nguema International Airport[2]
GEO,SYCJ,Cheddi Jagan International Airport
GER,MUNG,Rafael Cabrera Mustelier Airport
GES,RPMR,General Santos International Airport (Tambler Airport)
GET,YGEL,Geraldton Airport
GEV,ESNG,Gällivare Airport
GEW,AYGC,Gewoia Airport
GEX,YGLG,Geelong Airport
GEY,KGEY,South Big Horn County Airport
GFD,KGFD,Pope Field
GFE,,Grenfell Airport[2]
GFF,YGTH,Griffith Airport
GFK,KGFK,Grand Forks International Airport
GFL,KGFL,Floyd Bennett Memorial Airport
GFN,YGFN,Clarence Valley Regional Airport
GFO,SYBT,Bartica Airport
GFR,LFRF,Granville–Mont-Saint-Michel Aerodrome [fr]
GFY,FYGF,Grootfontein Air Base
GGB,SWHP,Água Boa Airport
GGC,,Lumbala N'guimbo Airport
GGD,YGDS,Gregory Downs Airport
GGE,KGGE,Georgetown County Airport
GGF,SNYA,Almeirim Airport
GGG,KGGG,East Texas Regional Airport
GGH,SSCT,Gastão Mesquita Airport
GGJ,SSGY,Guaíra Airport
GGL,,Gilgal Airport[2]
GGM,HKKG,Kakamega Airport[2]
GGN,DIGA,Gagnoa Airport
GGO,DIGL,Guiglo Airport
GGR,,Garowe International Airport
GGS,SAWR,Gobernador Gregores Airport
GGT,MYEF,Exuma International Airport
GGW,KGGW,Glasgow Airport (Wokal Field)
GHA,DAUG,Noumérat – Moufdi Zakaria Airport
GHB,MYEM,Governor's Harbour Airport
GHC,MYBG,Great Harbour Cay Airport
GHE,,Garachiné Airport
GHF,ETEU,Giebelstadt Airport
GHK,,Gahcho Kue Aerodrome[2] (TC: CGK2)
GHM,KGHM,Centerville Municipal Airport
GHN,ZUGH,Guanghan Airport
GHT,HLGT,Ghat Airport
